Datetime,YEAR,MONTH,DAY,SST,Temperature
2018-01-05,2018.0,1.0,5.0,13.922535211267604,12.40340822368947
2018-01-06,2018.0,1.0,6.0,13.984722222222226,12.452460756677032
2018-01-07,2018.0,1.0,7.0,13.823776223776221,12.325508057442947
2018-01-08,2018.0,1.0,8.0,13.774305555555555,12.286486056746021
2018-01-09,2018.0,1.0,9.0,13.54722222222222,12.10736484592939
2018-01-10,2018.0,1.0,10.0,13.49225352112676,12.064006048290182
2018-01-11,2018.0,1.0,11.0,13.508333333333335,12.076689653862934
2018-01-12,2018.0,1.0,12.0,13.542361111111116,12.103530446921088
2018-01-13,2018.0,1.0,13.0,13.488194444444444,12.060804286542803
2018-01-14,2018.0,1.0,14.0,13.40138888888889,11.992332875680178
2018-01-15,2018.0,1.0,15.0,13.316666666666665,11.92550477867825
2018-01-16,2018.0,1.0,16.0,13.319580419580419,11.927803119742173
2018-01-17,2018.0,1.0,17.0,13.327464788732398,11.934022236435139
2018-01-18,2018.0,1.0,18.0,13.300709219858156,11.912917693787762
2018-01-19,2018.0,1.0,19.0,13.284507042253521,11.900137567532752
2018-01-20,2018.0,1.0,20.0,12.86223776223776,11.567055506349234
2018-01-21,2018.0,1.0,21.0,12.534285714285712,11.30836999624737
2018-01-22,2018.0,1.0,22.0,12.735211267605633,11.466858194682597
2018-01-23,2018.0,1.0,23.0,12.892253521126769,11.590731656407712
2018-01-24,2018.0,1.0,24.0,12.966433566433569,11.64924418279503
2018-01-25,2018.0,1.0,25.0,12.756944444444445,11.484001121436036
2018-01-26,2018.0,1.0,26.0,12.670833333333333,11.416077481860308
2018-01-27,2018.0,1.0,27.0,12.608510638297876,11.366917922538004
2018-01-28,2018.0,1.0,28.0,12.653146853146849,11.40212655160231
2018-01-29,2018.0,1.0,29.0,12.583802816901407,11.347428623961079
2018-01-30,2018.0,1.0,30.0,12.688194444444445,11.429771764032834
2018-01-31,2018.0,1.0,31.0,12.748611111111117,11.477427865993228
2018-02-01,2018.0,2.0,1.0,12.763636363636365,11.489279644746173
2018-02-02,2018.0,2.0,2.0,12.555555555555555,11.325147448234741
2018-02-03,2018.0,2.0,3.0,12.525531914893616,11.301465081107445
2018-02-04,2018.0,2.0,4.0,12.625352112676058,11.380202320112568
2018-02-05,2018.0,2.0,5.0,12.649305555555555,11.399096571966377
2018-02-06,2018.0,2.0,6.0,12.188111888111887,11.035311317800625
2018-02-07,2018.0,2.0,7.0,12.230555555555556,11.068790485965065
2018-02-08,2018.0,2.0,8.0,12.511111111111116,11.29009008587308
2018-02-09,2018.0,2.0,9.0,12.226388888888884,11.065503858243655
2018-02-10,2018.0,2.0,10.0,11.85174825174825,10.76999082538166
2018-02-11,2018.0,2.0,11.0,11.671527777777774,10.627834600009745
2018-02-12,2018.0,2.0,12.0,11.366666666666667,10.387363005060203
2018-02-13,2018.0,2.0,13.0,11.249295774647887,10.294781942485383
2018-02-14,2018.0,2.0,14.0,11.258992805755398,10.302430869986171
2018-02-15,2018.0,2.0,15.0,10.973426573426574,10.077178895073514
2018-02-16,2018.0,2.0,16.0,10.736363636363636,9.890185866112954
2018-02-17,2018.0,2.0,17.0,10.661538461538463,9.831164467591481
2018-02-18,2018.0,2.0,18.0,10.64375,9.817133095396247
2018-02-19,2018.0,2.0,19.0,10.50909090909091,9.710915263127168
2018-02-20,2018.0,2.0,20.0,10.129166666666666,9.411234571802595
2018-02-21,2018.0,2.0,21.0,10.411888111888112,9.634242605234785
2018-02-22,2018.0,2.0,22.0,10.65174825174825,9.823442041616707
2018-02-23,2018.0,2.0,23.0,10.147916666666667,9.426024396548922
2018-02-24,2018.0,2.0,24.0,9.548951048951047,8.953565915744134
2018-02-25,2018.0,2.0,25.0,9.532167832167831,8.940327471215955
2018-02-26,2018.0,2.0,26.0,9.564583333333337,8.965896515552071
2018-02-27,2018.0,2.0,27.0,9.59718309859155,8.991610905682226
2018-02-28,2018.0,2.0,28.0,9.972916666666666,9.287986032249865
2018-03-01,2018.0,3.0,1.0,10.6625,9.831922920142572
2018-03-02,2018.0,3.0,2.0,10.672727272727276,9.839990097276935
2018-03-03,2018.0,3.0,3.0,10.480555555555558,9.688406842974508
2018-03-04,2018.0,3.0,4.0,10.395138888888887,9.62103097468568
2018-03-05,2018.0,3.0,5.0,10.272535211267604,9.524322339737735
2018-03-06,2018.0,3.0,6.0,10.344444444444443,9.581043670741908
2018-03-07,2018.0,3.0,7.0,10.465734265734264,9.676715948096032
2018-03-08,2018.0,3.0,8.0,10.670833333333333,9.838496175585385
2018-03-09,2018.0,3.0,9.0,10.969718309859157,10.074253851432164
2018-03-10,2018.0,3.0,10.0,10.773611111111114,9.919566326046738
2018-03-11,2018.0,3.0,11.0,10.923611111111107,10.037884924017352
2018-03-12,2018.0,3.0,12.0,11.041258741258742,10.13068427504158
2018-03-13,2018.0,3.0,13.0,11.298591549295773,10.333665988766807
2018-03-14,2018.0,3.0,14.0,11.47777777777778,10.475006410964367
2018-03-15,2018.0,3.0,15.0,11.35804195804196,10.380559915511
2018-03-16,2018.0,3.0,16.0,11.384722222222226,10.401605058519632
2018-03-17,2018.0,3.0,17.0,11.576923076923075,10.553211296232693
2018-03-18,2018.0,3.0,18.0,11.507638888888884,10.498560576301106
2018-03-19,2018.0,3.0,19.0,11.588811188811187,10.562588527773489
2018-03-20,2018.0,3.0,20.0,11.689361702127659,10.641901832845695
2018-03-21,2018.0,3.0,21.0,11.572727272727272,10.549901685100648
2018-03-22,2018.0,3.0,22.0,11.651388888888887,10.611949232689618
2018-03-23,2018.0,3.0,23.0,11.425874125874126,10.434065295479064
2018-03-24,2018.0,3.0,24.0,11.525,10.512254858473634
2018-03-25,2018.0,3.0,25.0,11.641666666666667,10.604280434673006
2018-03-26,2018.0,3.0,26.0,11.57847222222222,10.554433247565012
2018-03-27,2018.0,3.0,27.0,11.33380281690141,10.361440307539254
2018-03-28,2018.0,3.0,28.0,11.004166666666665,10.10142639329787
2018-03-29,2018.0,3.0,29.0,11.001398601398597,10.099242969287145
2018-03-30,2018.0,3.0,30.0,11.434265734265734,10.440684517743154
2018-03-31,2018.0,3.0,31.0,11.155944055944056,10.221146979317483
2018-04-01,2018.0,4.0,1.0,11.106338028169015,10.182018208269254
2018-04-02,2018.0,4.0,2.0,10.52986111111111,9.72729860434448
2018-04-03,2018.0,4.0,3.0,10.134722222222225,9.415616742097804
2018-04-04,2018.0,4.0,4.0,10.427972027972027,9.646929447907624
2018-04-05,2018.0,4.0,5.0,10.617482517482518,9.796413550705005
2018-04-06,2018.0,4.0,6.0,10.402097902097902,9.626520179260012
2018-04-07,2018.0,4.0,7.0,10.542857142857141,9.737549752713626
2018-04-08,2018.0,4.0,8.0,10.958333333333336,10.065273488362408
2018-04-09,2018.0,4.0,9.0,10.632867132867132,9.808548791522503
2018-04-10,2018.0,4.0,10.0,11.375,10.393936260503015
2018-04-11,2018.0,4.0,11.0,11.270422535211267,10.31144653374885
2018-04-12,2018.0,4.0,12.0,11.093706293706292,10.172054414192143
2018-04-13,2018.0,4.0,13.0,11.316666666666665,10.347923472403329
2018-04-14,2018.0,4.0,14.0,10.679020979020978,9.844954513975
2018-04-15,2018.0,4.0,15.0,10.364788732394368,9.597091054921545
2018-04-16,2018.0,4.0,16.0,10.352083333333333,9.587069154897819
2018-04-17,2018.0,4.0,17.0,10.228671328671329,9.489722919135474
2018-04-18,2018.0,4.0,18.0,10.495104895104896,9.69988322602035
2018-04-19,2018.0,4.0,19.0,10.851388888888886,9.980916710179647
